Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c382c1791fdd92389036738c03cca271d52e92c70a4329eacf202f44d1d7d0d2,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.941787,51.869521,On or near WESLEY WAY,W01000623,Pembrokeshire 004D,Investigation complete; no suspect identified
a734440b2aea7ddd6e4e127c7721af778e04904a3c4c7b558648cbd28ce89877,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.952532,51.712543,On or near GORDON PARRY CLOSE,W01000599,Pembrokeshire 009D,Investigation complete; no suspect identified
f7f562cbf994edf87b30aa43a6960cf2c823b3f29460bc8363196abe1ac2a6ad,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.145428,52.305752,On or near CHURCH STREET,W01000538,Ceredigion 005C,Investigation complete; no suspect identified
e7a892cd8c4e8128a7c7a790d7cac229df5db2c084812a3496b6c487c72d17c2,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.926039,51.689921,On or near MUNRO COURT,W01000601,Pembrokeshire 013B,Investigation complete; no suspect identified
618d65b4dc9b39e7215bf18bf0c4b9196faab1974c15bb1ecb57f47536fc5e96,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.090350,51.841452,On or near Park/Open Space,W01000556,Pembrokeshire 008B,Investigation complete; no suspect identified
fe37cafa130955c87edc078b25a3f554f2fa756250c5c2610dcf4dedac780068,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.052896,52.415306,On or near ERW GOCH,W01000525,Ceredigion 011A,Investigation complete; no suspect identified
ebfc6d6b4e8715d05977c392635bc3acf59c5534c55875f9bf06b9e46c54a630,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.231503,51.997062,On or near TOWER LANE,W01000494,Powys 015E,Investigation complete; no suspect identified
b0eb45972150c25a25a8a8b05310df6668cdde373f127bb0129c1b5dacfcf8c6,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.798357,51.998949,On or near HEOL CILYCWM,W01000678,Carmarthenshire 002C,Investigation complete; no suspect identified
b2f8852df31c4313c04e8eecf09e6db736a93bf0f7d3427465f8a2ab454b79ed,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.877131,51.971949,On or near BRYNDULAIS,W01000647,Carmarthenshire 002A,Investigation complete; no suspect identified
1b7212a002c4571856e74d037779e84165e743f604b60c40b77ec3ca654085f3,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.796724,51.999262,On or near LLYS LLANFAIR,W01000678,Carmarthenshire 002C,Investigation complete; no suspect identified
0d7b1f32d4b1bd5af0ed18570aa558e41378780b98be4ee897213dc93857f959,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.237848,52.544400,On or near CLOS Y FELIN,W01000439,Powys 007B,Investigation complete; no suspect identified
dd81b84beed2fa1e4758dc7efd07488792f67c5d9023d4eadcd06b845ac7cd2c,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.096250,51.803457,On or near Y FRON,W01000663,Carmarthenshire 016B,Investigation complete; no suspect identified
1707b301fd309f153b69e01c164396446e6d92676e0c03dca607d788c6ee1b1e,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.911006,51.935265,On or near Petrol Station,W01000709,Carmarthenshire 004D,Investigation complete; no suspect identified
82bc77062e8c1f0f73b96cb7a36c4e62ea62b77ce5b8b03bffe8a7935c829899,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.110042,51.785720,On or near SINGLETON ROAD,W01000699,Carmarthenshire 015C,Investigation complete; no suspect identified
2514f567e92217d9aee507baee167dd7e5699b9787caf0c281969c9bf589054d,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.161529,51.676478,On or near STATION ROAD,W01000733,Carmarthenshire 026E,Investigation complete; no suspect identified
e0c7021c2f161858dcea9426a29e17d29c384bfd712fc09fd9229ba44072dd55,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.156164,51.692943,On or near LON Y DDERWEN,W01000704,Carmarthenshire 022B,Investigation complete; no suspect identified
396755af81c718b43b5739943f073395ba2788d5cd634f07d9eff6f7e5e40374,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.026794,51.713242,On or near YORKE STREET,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
213997941183f829e391fb737ca95a200239f6603135a032fbc7ae15fc9322c5,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
0c0ac9342c10293433a552ca72a690c222e9ae752667e0867736c8d5f2de5f06,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.085927,52.414143,On or near Y STRYD FAWR,W01000517,Ceredigion 002D,Investigation complete; no suspect identified
37047dd1a562b2f6b8b034d6d64f606104915390fc74dc32afc52ea94015ebbf,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.978449,51.994977,On or near WEST STREET,W01000565,Pembrokeshire 002B,Investigation complete; no suspect identified
25f4e8065ee6fbfa5669e16a2a6de170aca7ce04b1a5fc97175c682b63637a30,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.897574,52.013211,On or near THE PADDOCKS,W01000562,Pembrokeshire 002A,Investigation complete; no suspect identified
f09b23f35063fce6f74f72eee62ce7d4fb2ae9742bf1cb4e9bb154a930ea764a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.159322,51.682687,On or near MARKET STREET,W01000703,Carmarthenshire 022A,Investigation complete; no suspect identified
e8a4010c55c640c4b42a7963c5399f2fd37c62e651b1a1bc7df7e52598787fe1,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.750516,51.784315,On or near DOLFAIN,W01000504,Powys 021D,Investigation complete; no suspect identified
3d2999be85193ff7a581e16b6623d7ca68f2f009eda52ffea162987b6bddc326,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.270145,51.688070,On or near DOL HELYG,W01000710,Carmarthenshire 021D,Investigation complete; no suspect identified
0e863fbb99474e4fdb3565267ef3369ef5774a73bb5ed23e82dc6a1b2b7d40c1,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.270145,51.688070,On or near DOL HELYG,W01000710,Carmarthenshire 021D,Investigation complete; no suspect identified
b68cdf4ef95e1819185877b64709988e1c6d90a20aca770d64892a2b5663e681,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.310356,51.706881,On or near Airport/Airfield,W01000710,Carmarthenshire 021D,Investigation complete; no suspect identified
dad3d29fb295c3072a869b977d95cec4855ebf9f26232fa17aeee725c16b8c68,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.300198,51.738582,On or near GER-Y-GWENDRAETH,W01000671,Carmarthenshire 018B,Investigation complete; no suspect identified
c61ef32e7ab36163d3139d8bda26a47aa9a5d238ba20fb2b80338a64a4dcb62e,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.121276,51.677437,On or near TIR EINON,W01000708,Carmarthenshire 025E,Investigation complete; no suspect identified
d6f2c02a4fba13912c52d1dddfcc0941a672ab63012a9237650273dc30a08d69,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.117730,51.684200,On or near LEWIS CRESCENT,W01000636,Carmarthenshire 025B,Investigation complete; no suspect identified
dee4fe159d2c5d9f2590c6487d77050d8346fe142a466693645c44d2b2f6ded7,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.305388,51.736691,On or near LADY STREET,W01000670,Carmarthenshire 018A,Investigation complete; no suspect identified
ab97ffc3c4e48a1cc378f0e906743d0c8123c0632f4dd2cdc55cf281a2a9d567,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.310830,51.735199,On or near WEST HILL CRESCENT,W01000670,Carmarthenshire 018A,Investigation complete; no suspect identified
31ce427111ffea4776131a1ee26e0f7de0875e2316c5b7c45b9b0a68f1f9e8b5,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.303598,51.733389,On or near CLOS YR HELIG,W01000671,Carmarthenshire 018B,Investigation complete; no suspect identified
4f2d8f9f1b971a45994d121d8ffe38dcd5e183849b23819e92dbc2089d936040,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.368686,51.923929,On or near FRONHEULOG,W01000649,Carmarthenshire 006E,Investigation complete; no suspect identified
daac5d0b25fac9b70403077b9395a8717cf6a749fb4b9bceea4da1a3c36bb484,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.141879,51.695614,On or near YNYSWEN,W01000655,Carmarthenshire 020C,Investigation complete; no suspect identified
fd3a628e147ef95660b7ddcdd274e9762155471eb1d01ccf20c411022409e3a0,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.496788,51.808967,On or near BRIDGE STREET,W01000672,Carmarthenshire 027E,Investigation complete; no suspect identified
d780efa7be9427b077c074c5d1d257da99453696ad52d2ec8b4a1cb8ac0c7478,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.137674,51.690215,On or near LON-YR-YSGOL,W01000652,Carmarthenshire 020B,Investigation complete; no suspect identified
5e8a0573d8202af98f24d023aa80a80837acd394b48e448d8c2fb319fcc467df,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.183364,52.276589,On or near Parking Area,W01000540,Ceredigion 005E,Investigation complete; no suspect identified
47c5b2fdf5cd7d2d773668e36c486c94cf4409d2dc19bde3450ac1044ec6e968,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.948274,51.709187,On or near Supermarket,W01000598,Pembrokeshire 009C,Investigation complete; no suspect identified
ce884593622de99be56445aa69af04703820dc2fdfa884dc7dd5b00a33f4872b,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.008506,51.828810,On or near PENPOUND LANE,W01000681,Carmarthenshire 011B,Investigation complete; no suspect identified
590671806e592f2e8aafe0ffbce670a6aaeaddc25823d6935f7435fecf5638c2,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.736824,51.741459,On or near BROOM LANE,W01000576,Pembrokeshire 011D,Investigation complete; no suspect identified
8b4cb330e23d8c4475a60551ae798b7a6f40a9194d7ce82deb0dff90e216f59f,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.715995,51.738363,On or near RYELANDS WAY,W01000576,Pembrokeshire 011D,Investigation complete; no suspect identified
e1d187805143a0f4dae6ae0e71f4a31cda2305a72c13d4fc471d16e8f289e3bc,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.944870,51.695341,On or near FRONT STREET,W01000600,Pembrokeshire 013A,Investigation complete; no suspect identified
23991b13b9e2493f7567e1ba33a2d5009f46c80ed6ca983296bc80172e9588eb,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.961765,51.813168,On or near PRESCELLY PARK,W01000572,Pembrokeshire 005D,Investigation complete; no suspect identified
ca37fa2002e828c4642eef596bad9ad01e25a3205b6d101a9fd375fa26061665,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.224401,51.991417,On or near Sports/Recreation Area,W01000494,Powys 015E,Investigation complete; no suspect identified
4f258dedc427eb4a713ac27245340d99f2371d47f36e8c5085d90451428116b2,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.224401,51.991417,On or near Sports/Recreation Area,W01000494,Powys 015E,Investigation complete; no suspect identified
350336c072d1ebb7c5eed1316cbb6884a49afcbf02570169cfb45f1be3101dff,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.715365,51.734384,On or near PARK AVENUE,W01000576,Pembrokeshire 011D,Investigation complete; no suspect identified
852a57f346f94583f8498f07aca6f17ff902438678c4f6088e1cdb95fe4a8382,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.701911,51.672999,On or near WHITE LION STREET,W01000619,Pembrokeshire 016B,Investigation complete; no suspect identified
ec44724479fbf5c9c5b80eda3378168714f1b7e6cfd0d1dc449c91addef726c6,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.159631,51.672448,On or near MARGED STREET,W01000659,Carmarthenshire 026A,Investigation complete; no suspect identified
87ddd671fbbf3aed0d28701d23d123361ca4069c1a740ab7bb7320c2baeb3b46,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.081418,52.413000,On or near Shopping Area,W01000513,Ceredigion 002B,Investigation complete; no suspect identified
fe2506d31f9241f37c9a76076a8b14ca87cc695d7dd24286b79e8e83c92afce7,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.305914,51.865492,On or near HEOL-Y-DELYN,W01000639,Carmarthenshire 007C,Investigation complete; no suspect identified
044d8268dedbc69d3a7d68ed6e4caf168e4a9ef07e83e5f03c0f9228a53bfaa1,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.145442,51.852335,On or near PARK DRIVE,W01001904,Powys 018G,Investigation complete; no suspect identified
76f14e2f1820f6c2cfdcb5128b60b7c58482b8ddfb325dc8c85314a41b58ff03,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.079491,52.416432,On or near VAYNOR STREET,W01001934,Ceredigion 002F,Investigation complete; no suspect identified
27496dbdf6fe40674509853d35f5dc9a87d63bf2a262f294154fea58dd080602,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.979115,52.504410,On or near CHAPEL STREET,W01000523,Ceredigion 001C,Investigation complete; no suspect identified
e7c9fe157303120072d81ee90a5f66a691af47982e800f0d3dc07ba5f29b645a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.085357,52.415151,On or near EASTGATE,W01000513,Ceredigion 002B,Investigation complete; no suspect identified
4778447804e5c81d38cbf58a20d4b88979987a2efee83dc9aeb3c2239c8f32b3,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.386962,51.949279,On or near BELLE VUE GARDENS,W01000493,Powys 017E,Investigation complete; no suspect identified
fe4c10936ca67def13993a36468858f4e5b75a6fec6341044b9bfbe0a6e91db4,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.309961,52.309867,On or near MILLSTREAM CLOSE,W01000464,Powys 011D,Investigation complete; no suspect identified
1eca0a16776d42751db9a8577e481ae4c61d972002a61fc5b720690431e95b65,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.114178,52.139587,On or near CEFN ROAD,W01000484,Powys 011E,Investigation complete; no suspect identified
4a769c8e7af2a048498e371c25ded3543912c422e378a6123369189dc183fa83,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.460478,52.152916,On or near CAE LLEWELYN,W01000450,Powys 014C,Investigation complete; no suspect identified
6196abd77baac02ff66e66c85ea4f97f3dbebe0e519700bff36438da82695e47,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.527983,52.066683,On or near B4570,W01000519,Ceredigion 010A,Investigation complete; no suspect identified
2bb9a5db872c8c02d053162278f8cc8a3d91560456b667bf9f89e76fc107811a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.531457,52.047877,On or near SPRING MEADOW,W01000519,Ceredigion 010A,Investigation complete; no suspect identified
bbc263c4175b8d401451a0822f2e7335ffce6d7ffeb326aa9b7a6824c7d6ba33,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.981953,51.992901,On or near PENBANC,W01000566,Pembrokeshire 002C,Investigation complete; no suspect identified
c5a8ecb3975b3833a1e26a9b7e1d042c72c6bbf0823b28aad029424560408418,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.188335,51.687033,On or near Further/Higher Educational Building,W01001925,Carmarthenshire 023F,Investigation complete; no suspect identified
b73cf16c3021cefe27210dfd11ad6c41cdf39185f9cd6ddc6c19c23b50fd2455,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.302599,51.735387,On or near MONKSFORD CLOSE,W01000671,Carmarthenshire 018B,Investigation complete; no suspect identified
952d095981ec63a38f0d4f375ef351f32414823d5470950861813f593ff4f7e8,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
cf4ec3177a664b645bfc3da43226f04f49017d54a12da2f7a443fabec532639b,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.045010,51.712636,On or near ST ANNE'S PLACE,W01000589,Pembrokeshire 012A,Investigation complete; no suspect identified
a15f35e5c4dbfc3ba582a77feb8f4477a9c7fa9ceb5e7757ad65edc18966e060,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.038027,51.713213,On or near Parking Area,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
584cfd1cde9ac703fc78e8904fc2a4158c8ff049d788548770f714772d05551d,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.981354,51.792301,On or near Further/Higher Educational Building,W01000573,Pembrokeshire 006B,Investigation complete; no suspect identified
af8a450abffb235e06ce44797477f4f877423e8dd9f40bc2b6b08ea2f1d2f13d,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.080923,52.414978,On or near STRYD Y BRAGDY,W01000513,Ceredigion 002B,Investigation complete; no suspect identified
53175fdda05a78b08f2a1677203440adb5a94437bbca4683b0c71dbd2ef8b561,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.224401,51.991417,On or near Sports/Recreation Area,W01000494,Powys 015E,Investigation complete; no suspect identified
b24c4ff52fa7e5e631e523fa2b2caf7f315f904b41b97690ec61ab625cd9af5a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.384814,51.949017,On or near Hospital,W01000493,Powys 017E,Investigation complete; no suspect identified
5a8f212fbec5c098394185cf7556cdc59d8478c7a73fe0d70e396d22e2af4ee5,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.310512,51.859691,On or near MERLIN STREET,W01000639,Carmarthenshire 007C,Investigation complete; no suspect identified
6bc12060e4cf39a77384d77524ad6359c65b2640999e79aee3aefcf367107064,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.312049,52.516081,On or near EDWARDS FIELD,W01000481,Powys 008B,Investigation complete; no suspect identified
27623e626b10172e64a17c7ee1c86c193fb175bc4159f8a1ee2b95f6870b5fa0,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.421121,52.285178,On or near A44,W01000477,Powys 012D,Investigation complete; no suspect identified
a3d165d2a1e0d41e9fc8a5fca7eb59763fea0fa62d35d5ba6e2beed2b88631cf,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.302184,51.861006,On or near RICHMOND TERRACE,W01000641,Carmarthenshire 008A,Investigation complete; no suspect identified
e25f99d09999202ce209ac096644b82372cdc30971633f471e09271701dde8ab,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.910782,51.674741,On or near Parking Area,W01000608,Pembrokeshire 015D,Investigation complete; no suspect identified
e3cf20ddec3eafdf1d9ff656ea927a6c3006d49cc48ca5fd42985a3ef6112eff,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.175325,51.686978,On or near Sports/Recreation Area,W01000667,Carmarthenshire 023C,Investigation complete; no suspect identified
04d29affdd8b22ae6d78136e2ec0a99174feadecc37d2e46cb7ebc5786ecd3f3,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.158346,51.660943,On or near PENTRE NICKLAUS VILLAGE,W01001923,Carmarthenshire 026G,Investigation complete; no suspect identified
13a265204c7f4167a27fe53d738dcfe92a8929bc219437acb98f6667d709ee7f,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.153532,51.689610,On or near WAUN ROAD,W01000704,Carmarthenshire 022B,Investigation complete; no suspect identified
bdd4f66ae1308301b6831b8dc82897afec496b89f374aa4968b1979b70525cda,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.709538,51.695820,On or near HIGHGROVE,W01000610,Pembrokeshire 016A,Investigation complete; no suspect identified
136193b0943bc827a42b1335520059c63fc9621d0ae8fce5b8900874bf25d927,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.742225,51.807614,On or near REDSTONE ROAD,W01000596,Pembrokeshire 007D,Investigation complete; no suspect identified
f125a6953cdb5051eb1234755ffc480b19b367766367e43572d54dbd2d0b877a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.029509,51.718775,On or near MARBLE HALL ROAD,W01000594,Pembrokeshire 012E,Investigation complete; no suspect identified
2cf8ee3393723157ccda69e7eda2da3908cd19c10cbcdd69f528c700c99f496c,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.034292,51.714515,On or near EDWARD STREET,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
d263a3afebac35731ad3f955fc18db73a38a88a675164ff73e4496f607e22339,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.032998,51.713783,On or near Parking Area,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
ca353a247dc3d71ef9b42bd587fe310f9a6b9d1e870c1aafa15e43920ac82a63,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.032998,51.713783,On or near Parking Area,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
cde71779b56a84f5e9cc3e4da63146a1c743ba133a33c741ed1108eabb61e687,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.659440,52.084148,On or near WILLIAM STREET,W01000510,Ceredigion 009D,Investigation complete; no suspect identified
dbea8426f831ba7510d8bbaad8b65f70b83c794a28e8aa8d6cd04a4be15a740f,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.217319,51.895032,On or near Park/Open Space,W01000612,Pembrokeshire 003C,Investigation complete; no suspect identified
e24cc693dc265a5985e8e9b2ea8543397c97e2b2e733df2284ba335daac2e28f,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-5.037817,51.754753,On or near DEER PARK CLOSE,W01000575,Pembrokeshire 008C,Investigation complete; no suspect identified
1c189d2e8954047024d50c897e97d36869abfdc183fd4b130a985365a5ce9a48,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.337948,52.508005,On or near LON DOL-Y-BONT,W01000478,Powys 009A,Investigation complete; no suspect identified
a461eb4bf5eedc4b5f318fb83ae97d207463b6761fa5884208b6138f1743018b,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.315348,52.515999,On or near Shopping Area,W01000480,Powys 008A,Investigation complete; no suspect identified
189df607663e1ba6d0c49d999ac2e8ba6f3b71b70fd63e4cb98fc082c6184a86,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.320203,52.511297,On or near PARKLANDS,W01000479,Powys 009B,Investigation complete; no suspect identified
0f2bac063fdcdec0db1c2593369bdd176ba5a4afb5d6b3d9b6e4705c9ca00200,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.614708,51.819505,On or near LLANGAN ROAD,W01000735,Carmarthenshire 027D,Investigation complete; no suspect identified
e30f79e5cbc976ca590bf9421504ff22f2ba1cec3e5886404fbbe58beb9c9a3c,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.769850,51.774889,On or near GYRNOSFA,W01001899,Powys 021F,Investigation complete; no suspect identified
fd143937c6a5fe49f0e61bee63d449028e7f5c35c6babd0dabef342d310941ed,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.702158,51.669855,On or near SOUTH CLIFF STREET,W01000621,Pembrokeshire 016D,Investigation complete; no suspect identified
2f817ed9b571d9a3644f4dbcfd8d77e667f26e8f52f74aba7f167d2851aff6f5,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.398646,51.946471,On or near Parking Area,W01000489,Powys 017A,Investigation complete; no suspect identified
