Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
48a2c93b82eac3822972b8ee471938ba1f60bacf97eae34fc6956190f874f79a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.458690,51.756419,On or near COMMONS LANE,E01023351,Dacorum 015C,Offender given a drugs possession warning
0f2fa3e69b0994a5e532f884e775d2be4157f66d681cda7cb4e9ae8409e0c903,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.364750,51.648657,On or near AVENUE RISE,E01023563,Hertsmere 012F,Offender given a caution
e0bf5449965dc1638ee350555c3eec95e0034642c0e8d81a1230dd520ccf589c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032042,51.714053,On or near CARLETON ROAD,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
593acbb5c9d1c4b2d686c45a140273514c71e7c872aa48e99f4f582f2da7dc44,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013151,51.684321,On or near GORDON ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
5a4ed8c270c080dd31e3ea12c0d5b5c640671db43fc5755750d1e176ee69eabe,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
2b647b9918a598919d8c4ad4f4bcf32d7f4538a2d7550f4eb688970e8df17b4c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.054240,51.702786,On or near FRANK MARTIN COURT,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
d9317c347f24a90d21de04ed70b6b43a8adfe47da54d1a7a43dd8266a24dae9c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024222,51.708157,On or near FIELDINGS ROAD,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
f906449f406afd5c7a69a8a4a3533bf05b6a005b0b537a07bcfd847e7ab2bf59,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026197,51.699684,On or near DARCY CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
73ec81ee12ef1813c72e0345def11553b5a1e3b19c6771f0dac35b0e04633f9b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033919,51.698141,On or near THE BRAMBLES,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
cb6731b3e9f31402c5b1de5a1bdc39cca523d8db1671fcd5cc9da58b003468f4,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036240,51.703026,On or near Parking Area,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
39c7d8621a51c8e5d0f459424a21189fa17b641169f1e224753b0931d31598fa,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032025,51.724448,On or near WINNIPEG WAY,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
c694f62888c5662c4b552066983e0d2908e1362457e4b967d91b0be5c9039a7d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032236,51.686234,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f51a5c52071e45d97c0a0384840addb135617bf8330a79e67c94e9db3cd8779d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018999,51.703456,On or near Park/Open Space,E01021818,Epping Forest 009C,Investigation complete; no suspect identified
4b8dab3cbbe6075f344375973da01da4e4ed47286de37357fe91722790255fb6,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033156,51.710412,On or near LAWRANCE GARDENS,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
636618273733eb65c129aa8aab940139b9e2b96a5dec45362fa836ba28db2c00,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033848,51.703787,On or near Petrol Station,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
f8d2debe59d42ac6bfe3e55db2470f331fa227bddf23b9055c08ff0c2df18183,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032298,51.712169,On or near KENNEDY CLOSE,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
a523b021935bba9888053fc756cfa22e08bdba4696bfc4bfef86eed502350066,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029282,51.687299,On or near CROSS ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
396cc58cecc6407f902ec1ac58fb41b3ac3cda83034d1f7c67f529ef09830776,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
b6787cfec41aca3811ff78f2ba687c4ff71858ac15cbe8bdb53be58ef36a6dc1,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026681,51.688901,On or near EASTERN AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
b6787cfec41aca3811ff78f2ba687c4ff71858ac15cbe8bdb53be58ef36a6dc1,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026681,51.688901,On or near EASTERN AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
ae36473e9b5a8c5a2d3bb63f36975f4dfe9409bf191b507594be8d2e1265bad7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026681,51.688901,On or near EASTERN AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
ae36473e9b5a8c5a2d3bb63f36975f4dfe9409bf191b507594be8d2e1265bad7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026681,51.688901,On or near EASTERN AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
ad5874ea12a3029af6de6c04e296114203fa7512ea68dffcbf6854fd0ef780d1,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
4c06f92cd9cb932b21db20dea78d3b943f89fe5d12d0b04a6650631f46376e2b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036240,51.703026,On or near Parking Area,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
6a819a041ae234d2a9d7307bdab1a6b5f8690c41759b13ba2e3d150c0a27a73d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
2045926252ba97ea4edc972a44ca76c36c11d2d57717b9c025849ea35b88971f,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
b574c9d14cd388513c15beeefa93ed73d6a82fd2826296da365120e5b0e829f7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030933,51.683271,On or near PARKSIDE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
eb844b7ac3722a82a5fc70be52e14673304ce5e24b56ac24bfc30dc5d8aa07da,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030933,51.683271,On or near PARKSIDE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
5fb28e809e4b3b28172691b428852efd4547856b977ae4659f28297d86ac7f3d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
a268afadf0b6901630035a2830f4e88aa6101888033d551eaf6a97eaff76c49c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.085637,51.710181,On or near VALLEY VIEW,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
545784f051dcbb1e55b47e1f8b9ae5992ecd8f60e5d1cda2723e313bb48feee6,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033271,51.683059,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f756160f9d6c0e582babe9c3bc9cda80ee19e3be7f5ec4649dfe2269f3e625d3,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f756160f9d6c0e582babe9c3bc9cda80ee19e3be7f5ec4649dfe2269f3e625d3,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
537138189c93d56f9bd52fa5d6a832b7715b18af2540943fcb9dc3b30481792c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
b122857e4805b3b342f30d92234ae64209b0e0b449675125d58c143308cb2b6a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049797,51.708162,On or near CHURCHGATE ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
e919b9bdec8b553e4dfd498001c1398bc5ff8dd90f6b04bebecdc43b5a14a8d2,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032025,51.724448,On or near WINNIPEG WAY,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
0ac485e0b261bc87a0892c4b631a32e5ab76d42fa7c66e45b95ca01ccf53f058,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
70cd48e1d0d0b6005f8f5e7962be9a5096c8012a9711f2f98709e3fd6aa3d5d7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.057545,51.699613,On or near WOODSIDE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
70cd48e1d0d0b6005f8f5e7962be9a5096c8012a9711f2f98709e3fd6aa3d5d7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.057545,51.699613,On or near WOODSIDE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
2708cb9a6518c43878832d317449762cd3a082f412b06e905c8f940432fa7555,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036240,51.703026,On or near Parking Area,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
19b3ff475abe2c9299bae875b3da9e267915375152b7a350ff8e7e622098a0e9,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
e6eb1568bd6cb093f49e951422d53804ab865bc851c7e52b76633e321bb79135,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.087549,51.724555,On or near WELLS CLOSE,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
fcbdfed81c9f975961b0d5ab4b999e8192617848152499a6663aefe4cf1152e1,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041643,51.682803,On or near M25,E01001551,Enfield 002E,Investigation complete; no suspect identified
fcbdfed81c9f975961b0d5ab4b999e8192617848152499a6663aefe4cf1152e1,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041643,51.682803,On or near M25,E01001551,Enfield 002E,Investigation complete; no suspect identified
01cb63c8e01c06d875216ea9b50b579e96f2dd6ac9b2e0af21e5a7e64a875438,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
01282a07f971c7b5a3ae4c1e3190fdec3485b25f362bdac5a76a4710834c31bc,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032168,51.688148,On or near STANHOPE ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
dc3af3a6ca5fc2f8cc92dc981c9dda248d141e6307fa9bdf87bfa2158d4c298b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013151,51.684321,On or near GORDON ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
3135f2496b9f3943b80ddb80d25c802953407154009016e960e6ee9247cc3fc4,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043032,51.702924,On or near GREAT CAMBRIDGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
3a59ade03cbd63e48a39cd43bdf63ae5b9600b66b9278a3e4a8d088e04e5f3e8,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061290,51.712210,On or near ST ANNE'S CLOSE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
f7d167f06b7ffcbf994c83216b1861fc94c9ace6b139d3f69c083822cefe33ca,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034075,51.704240,On or near ORCHARD PLACE,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
8d1a3d7664f2e693a539bf57719a3d4daf87258f705ecffb21154e5eafe6c98a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035114,51.699303,On or near WALNUT TREE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
bbc7e3b7c6a4dec10721f0f5612604006d76c35f30dc25207f5ad5c76cac1df0,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
7a4fc0ab3a32e780c865a6aa78421aa5c907edbb680388f96890d0eceb7a896a,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036788,51.709420,On or near SYMONDS COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
1a5f9409e52785c54ebb81eb00b83146fb0af2acc198c455cee5c48f7c07b8bb,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.067363,51.706933,On or near CALDECOT AVENUE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
b2ae2af310b529427b8d2d86f39068b33b6e0094c5d85c02e737c5ed9b6864a7,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031900,51.688989,On or near ST JOSEPH'S ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
2b4122763c22f97c92f8258e6b196a76fa1d22bb975f18a0aed79e24877ff140,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032211,51.686494,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
855c81f636529d888f45a4cd30327fa6c51a457311e91e99267395a0800ad4a4,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037431,51.688218,On or near KENWORTH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
29b8af773f60793ea0e55e05bc188e598c5090f855979292fbc8c3ff9451392f,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
24c5298146cb46fb7154b5bb4fb49bc68d62452478708e3fd052a7849e7d2274,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048548,51.708942,On or near Supermarket,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
9bade8102965eea06a3aafd41f2679765656cda27126b9c478876b3159b42e74,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025955,51.691614,On or near TRINITY LANE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
19c15008087e896e3c2b6862c8c15e9755d5104a8bdb34c897b9c53411d59eee,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045771,51.702169,On or near COLLEGE ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
d73053378726585cdcc750d882c35212e950ff3162a074b2a84ff0c096946e24,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023276,51.684680,On or near BROOK ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
d73053378726585cdcc750d882c35212e950ff3162a074b2a84ff0c096946e24,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023276,51.684680,On or near BROOK ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
1d0e366396efe5ef17c61c41a54fa7888351107cfdeb4560bad13aef716e5f7e,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026715,51.687769,On or near RAILWAY ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
44b5aa755f6fece098a1a774e5eae2e6030b458c2467697df6aa600ec1f1c5e9,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050704,51.699185,On or near HAWTHORNE CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
38cd61c1ecc8d62c32e86eaa8bee458f45c576a911f57cb9ac4a53a0de72f169,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033265,51.711906,On or near THE COLONNADE,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
ad687027214c18daf8bdb38e9ba4e09ec4c91863b5e85268420a2018d3de0484,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039886,51.700048,On or near BRINLEY CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
2fd94157687050d8d07ec102571350dce7900f33d419bfdd2ee4901dbbec6ca3,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027380,51.687123,On or near FOUNDARY GATE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
a6af1801acb5ee53990cab4ad6bd1a0edcb37f777a6eaeb9da96c309ae1256a0,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
7a789a2bcc40a497eae2a877b2edb33f8e6029889a227a2f05c11292465226ef,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025353,51.702457,On or near SHALCROSS DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
25fea9abe33fca5682f9a4645e77c46006373ffa9f24a6499b6673341a8a8b9b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.046549,51.706633,On or near BIRCHFIELD ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
3fd66956653d2a7f1526e105db8d2967c0dce1674098a9c6e04241f3382af911,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
fc8fc34e4544f2565e27e9349dc71141afa2d57ebaa76a5d636ca0a9e672dbc0,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
d9a3254c54043e4133910f51a9c93d46b173ab33a225c411f2d1d23072ee7f33,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
cdc2cc23a3d5e85130c2efdf087f2e1734a5b6c31b2b50b04d7fa52f3423777c,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
1646eba1a9c213b59415c7e2fc7671f1be7214bab99c2ff8aae8665a568c6d24,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026614,51.718044,On or near WILLOWDENE,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
b574f1a6bc593aa20600e07640c572681afc5aaa5b8a19c3f16607874ad0bb64,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
6904c6d51fb166dda574276f32ec44f365905f7c8c2a2dcbe30d27c6d11c8fcf,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
6904c6d51fb166dda574276f32ec44f365905f7c8c2a2dcbe30d27c6d11c8fcf,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
6904c6d51fb166dda574276f32ec44f365905f7c8c2a2dcbe30d27c6d11c8fcf,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
be83b7c8779240b3c844fcbc7e7862a5184275212a66c8f7b31f4d35e6b439ff,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029652,51.714750,On or near CHESHUNT WASH,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
b61e292a5dbf14ba10665a14d7490cb4e0f3735fae79cba5d5a78738110431f2,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.016386,51.685113,On or near BARBEL CLOSE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
e8b1c8864bbf68a864cb6b9184de499b2fc58bb25720c188ed15c913282bc774,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.058458,51.718188,On or near TANFIELD CLOSE,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
7bd7ae2fd15fbba5637570dc401dd542930ccc332cbc8c9e31513731a56b825d,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032921,51.684447,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
212b47f2cb0f3d5e23f9666209c50a739af2d7b3841a47480ed688624ff38e5f,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030669,51.698671,On or near HOLME CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
0e123560ed1b677e028eb5fa9e3bd5e7c2c2f23cdaee19f4960da4da531f27f0,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
fb687612248df394923fea6cb7e29bb5d15f3916e94235b00d01a5bdc8602097,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038537,51.684064,On or near CREASY COURT,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
62f3784335c33e25fede6d96e486875f0d285280e61fdbeb959d8c693326cfdb,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013151,51.684321,On or near GORDON ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
35a3752529edc46afc1fc1300e773240c716b3c0bb3ed98fc32ddb0a0e042e3e,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034982,51.706683,On or near FOREST ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
35a3752529edc46afc1fc1300e773240c716b3c0bb3ed98fc32ddb0a0e042e3e,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034982,51.706683,On or near FOREST ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
35a3752529edc46afc1fc1300e773240c716b3c0bb3ed98fc32ddb0a0e042e3e,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034982,51.706683,On or near FOREST ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
464df06f9ce80287ba9a3e893cba817efc85d64776fd3e4e11dbbbc3f087ab3b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032168,51.688148,On or near STANHOPE ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
89ff03b28dbe6037b98f40c95cba03ff38ad66899e96c374a4b9b57a73a2659b,2014-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050946,51.703316,On or near RIPLEY WAY,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
